Edition	TaskCode	Week	Training Type	Task Start date	Task End Date	Completion date			Owner	"Status
(PickList)"	EditionTaskCode
2309-A Customers	SLW6T02	Week 6	GLR	9/4/2023	9/8/2023	9/10/2023				Done	2309-A CustomersSLW6T02
2309-A Customers	SLW6T03	Week 6	GLR	#N/A	#N/A	9/10/2023			Telmo	Done	2309-A CustomersSLW6T03
2309-A Customers	SLW6T04	Week 6	GLR	#N/A	#N/A	9/10/2023			Telmo	Done	2309-A CustomersSLW6T04
2309-A Customers	SLW7T01	Week 7	GLR	#N/A	#N/A	9/10/2023			Telmo	Done	2309-A CustomersSLW7T01
2309-A Customers	SLW8T01	Week 8	GLR	#N/A	#N/A	9/10/2023			Telmo	Done	2309-A CustomersSLW8T01
2309-A Customers	SLW8T02	Week 8	GLR	#N/A	#N/A	9/10/2023			Telmo	Done	2309-A CustomersSLW8T02
2309-A Customers	SLW8T03	Week 8	GLR	#N/A	#N/A	9/10/2023			Telmo	Done	2309-A CustomersSLW8T03
2309-A Customers	SLW8T04	Week 8	GLR	#N/A	#N/A	9/17/2023			Telmo	Done	2309-A CustomersSLW8T04
2309-A Customers			GLR	#N/A	#N/A	9/17/2023			Telmo	Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	9/17/2023			Telmo	Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	9/24/2023				Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	9/24/2023				Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	9/24/2023				Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	9/24/2023				Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	9/24/2023				Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	10/1/2023			Afonso	Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	10/1/2023			Telmo	Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	10/1/2023			Telmo	Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	10/8/2023			Afonso	Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	10/8/2023			Afonso	Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	10/8/2023			Afonso	Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	10/8/2023			Afonso	Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	10/15/2023			Afonso	Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	10/15/2023			Afonso	Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	10/15/2023			Afonso	Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	10/22/2023			Afonso	Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	10/22/2023			Afonso	Done	2309-A Customers
2309-A Customers			GLR	#N/A	#N/A	10/22/2023			Afonso	Done	2309-A Customers
